,Name,ID
187,Sonali Gupta,https://openalex.org/A5089596896
188,Michael J. Gielniak,https://openalex.org/A5089614705
189,Byoungyoung Lee,https://openalex.org/A5090265495
190,Youzhen Ding,https://openalex.org/A5091795716
191,Justin T. Vaughn,https://openalex.org/A5000215035
192,Ross J. Verploegh,https://openalex.org/A5000543980
193,Tarek Sherif,https://openalex.org/A5000588312
194,Thomas L. Sadosky,https://openalex.org/A5001356649
195,Vinodhini Comandur,https://openalex.org/A5001415848
196,Sudhakar Jagannathan,https://openalex.org/A5002077361
197,C. C. Won,https://openalex.org/A5002198114
198,Katie Ashley,https://openalex.org/A5002227653
199,Quinn Spadola,https://openalex.org/A5002331110
200,J. D. Haase,https://openalex.org/A5002810248
201,S. Rahman,https://openalex.org/A5003664916
202,Christopher D. Hoffman,https://openalex.org/A5003938043
203,J. M. Lefferdo,https://openalex.org/A5004201060
204,Z. L. Wang,https://openalex.org/A5004487592
205,Natasha DeLeon-Rodriguez,https://openalex.org/A5004543097
206,Vinod P. Babu,https://openalex.org/A5004882562
207,J. J. L. Rascol,https://openalex.org/A5005270213
208,Sunil Murthy,https://openalex.org/A5005323438
209,Julia Sonnenberg-Klein,https://openalex.org/A5005698055
210,Adeboyega Oyelere,https://openalex.org/A5005758156
211,Phil McKnight,https://openalex.org/A5005879003
212,Sandeep Kakumanu,https://openalex.org/A5007105586
213,Winston Currie Boteler,https://openalex.org/A5007149422
214,A. Bhuiyan,https://openalex.org/A5007599139
215,Jeff L. Hernandez,https://openalex.org/A5008060509
216,J. Collins,https://openalex.org/A5008561729
217,Ellen Do,https://openalex.org/A5009156620
218,K. Shrestha,https://openalex.org/A5010120348
219,Maria Sala,https://openalex.org/A5010565598
220,Noel H. Brantley,https://openalex.org/A5010770282
221,Marcus Ma,https://openalex.org/A5012084359
222,H. Forrister,https://openalex.org/A5012138409
223,Connor Riley,https://openalex.org/A5012384365
224,Christopher V. Gemmiti,https://openalex.org/A5012397295
225,Jordan Key,https://openalex.org/A5012656062
226,P. Richards,https://openalex.org/A5012743616
227,Rundong Du,https://openalex.org/A5014000695
228,Nicholas D. Liggett,https://openalex.org/A5014285242
229,Zhu Xue-yun,https://openalex.org/A5014575009
230,Benjamin Wilde,https://openalex.org/A5015131556
231,Fred Juang,https://openalex.org/A5015317145
232,Cristina Bazzini,https://openalex.org/A5015372093
233,Eric Sabo,https://openalex.org/A5015648121
234,T. Egolf,https://openalex.org/A5015932613
235,Daniel C. Garmendia,https://openalex.org/A5016076283
236,Behnaz H. Zaribaf,https://openalex.org/A5016629816
237,Yang Hui,https://openalex.org/A5016689761
238,K. Udell,https://openalex.org/A5016862674
239,Alex Qiu,https://openalex.org/A5016944882
240,John B. Peatman,https://openalex.org/A5016992500
241,Kamil Saigol,https://openalex.org/A5017764509
242,Anita Singh,https://openalex.org/A5017845045
243,Grace Deetjen,https://openalex.org/A5018321886
244,Megan E. Lydon,https://openalex.org/A5018954265
245,Amy L. Ethier,https://openalex.org/A5019054301
246,Ilias Fountalis,https://openalex.org/A5019267320
247,William R. Binder,https://openalex.org/A5019879750
248,W. B. Cown,https://openalex.org/A5020123042
249,J.M. Harris,https://openalex.org/A5020431838
250,Gul Ahmad,https://openalex.org/A5021609391
251,John J. Condoluci,https://openalex.org/A5021982250
252,Chris Beall,https://openalex.org/A5022826420
253,William Gignac,https://openalex.org/A5023228531
254,Anthony A. Wasilewski,https://openalex.org/A5023729541
255,J. T. Nessmith,https://openalex.org/A5023837023
256,Lijing Zhai,https://openalex.org/A5024301158
257,Lucio Chiaraviglio,https://openalex.org/A5025228080
258,W.W. Graham Iii,https://openalex.org/A5025677340
259,Kartikay Garg,https://openalex.org/A5025724246
260,Kate Wharton,https://openalex.org/A5025823914
261,T. Liu,https://openalex.org/A5025865145
262,Kara Evanoff,https://openalex.org/A5025988425
263,A. W. Bell,https://openalex.org/A5026101490
264,Walter Mead Patterson,https://openalex.org/A5026760368
265,Baruch Feigenbaum,https://openalex.org/A5027271327
266,Xuyang He,https://openalex.org/A5028353874
267,James G. Collins,https://openalex.org/A5028454136
268,Helmut Biritz,https://openalex.org/A5028475643
