Unnamed: 0,Name,ID,DOI,Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,index,First_Name_OpenAlex,Last_Name_OpenAlex,First_Name_Scopus,Last_Name_Scopus
1684,Komahan Boopathy,https://openalex.org/A5087704644,10.2514/6.2013-2964,"Boopathy, Komahan",55848058300,8,"['Engineering', 'Energy', 'Chemical Engineering']",0000-0002-2543-0942,3815,Komahan,Boopathy, Komahan,Boopathy
109008,Krishna C. Jayachandrababu,https://openalex.org/A5090316561,10.1021/jacs.6b02754,"Jayachandrababu, Krishna C.",55821731100,12,"['Chemical Engineering', 'Chemistry', 'Materials Science', 'Energy', 'Biochemistry, Genetics and Molecular Biology', 'Environmental Science', 'Physics and Astronomy', 'Engineering']",0000-0002-5722-5580,2745,Krishna C.,Jayachandrababu, Krishna C.,Jayachandrababu
19115,K E Kurtis,https://openalex.org/A5088285644,10.1007/978-94-017-9939-3_53,"Kurtis, K. E.",6603706045,211,"['Engineering', 'Materials Science', 'Physics and Astronomy', 'Environmental Science', 'Energy', 'Chemistry', 'Chemical Engineering', 'Mathematics', 'Social Sciences', 'Business, Management and Accounting', 'Immunology and Microbiology', 'Earth and Planetary Sciences', 'Medicine', 'Multidisciplinary', 'Computer Science', 'Arts and Humanities', 'Biochemistry, Genetics and Molecular Biology']",0000-0002-1252-7323,113,K E,Kurtis, K. E.,Kurtis
71687,Stefania Marsili,https://openalex.org/A5021966474,10.3390/biology10030221,"Marsili, Stefania",57225347906,8,"['Medicine', 'Biochemistry, Genetics and Molecular Biology', 'Agricultural and Biological Sciences', 'Neuroscience', 'Immunology and Microbiology', 'Nursing']",0000-0003-0117-8874,4012,Stefania,Marsili, Stefania,Marsili
2961,Petro Junior Milan,https://openalex.org/A5057455678,10.2514/6.2015-2467,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2963,Petro Junior Milan,https://openalex.org/A5057455678,10.2514/6.2017-5079,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2966,Petro Junior Milan,https://openalex.org/A5057455678,10.1016/j.jcp.2021.110567,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2967,Petro Junior Milan,https://openalex.org/A5057455678,10.4271/2021-01-0550,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2969,Petro Junior Milan,https://openalex.org/A5057455678,10.2514/6.2020-1157,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2970,Petro Junior Milan,https://openalex.org/A5057455678,10.2514/6.2020-1070,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
2971,Petro Junior Milan,https://openalex.org/A5057455678,10.3389/fphy.2022.958120,"Milan, Petro Junior",56659825300,9,"['Engineering', 'Mathematics', 'Physics and Astronomy', 'Chemical Engineering', 'Environmental Science', 'Computer Science']",0000-0003-2233-6624,3629,Petro Junior,Milan, Petro Junior,Milan
3107,Andras Karsai,https://openalex.org/A5067041885,10.3389/fphy.2023.1142004,"Karsai, Andras",57219282292,5,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy', 'Earth and Planetary Sciences', 'Multidisciplinary', 'Chemistry']",0000-0002-7885-2954,5740,Andras,Karsai, Andras,Karsai
86142,Juhee Kim,https://openalex.org/A5086451445,10.1021/acs.est.2c09824,"Kim, Juhee",57211644580,15,"['Environmental Science', 'Chemistry', 'Chemical Engineering', 'Energy', 'Engineering']",0000-0003-2428-440X,2265,Juhee,Kim, Juhee,Kim
3199,Prasanth Alapati,https://openalex.org/A5070885133,10.1063/5.0086194,"Alapati, Prasanth",57188755109,9,"['Engineering', 'Materials Science', 'Social Sciences', 'Physics and Astronomy']",0000-0002-4124-8542,3427,Prasanth,Alapati, Prasanth,Alapati
3201,Prasanth Alapati,https://openalex.org/A5070885133,10.1016/j.cemconres.2019.105806,"Alapati, Prasanth",57188755109,9,"['Engineering', 'Materials Science', 'Social Sciences', 'Physics and Astronomy']",0000-0002-4124-8542,3427,Prasanth,Alapati, Prasanth,Alapati
3202,Prasanth Alapati,https://openalex.org/A5070885133,10.1016/j.cemconres.2022.107069,"Alapati, Prasanth",57188755109,9,"['Engineering', 'Materials Science', 'Social Sciences', 'Physics and Astronomy']",0000-0002-4124-8542,3427,Prasanth,Alapati, Prasanth,Alapati
3205,Prasanth Alapati,https://openalex.org/A5070885133,10.1680/jmacr.18.00284,"Alapati, Prasanth",57188755109,9,"['Engineering', 'Materials Science', 'Social Sciences', 'Physics and Astronomy']",0000-0002-4124-8542,3427,Prasanth,Alapati, Prasanth,Alapati
52059,Rosario A. Gerhardt,https://openalex.org/A5016772104,10.1557/opl.2013.1032,"Gerhardt, Rosario A.",7006403508,207,"['Materials Science', 'Engineering', 'Physics and Astronomy', 'Chemistry', 'Chemical Engineering', 'Energy', 'Biochemistry, Genetics and Molecular Biology', 'Social Sciences', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Psychology', 'Business, Management and Accounting']",0000-0001-8774-0842,118,Rosario A.,Gerhardt, Rosario A.,Gerhardt
51981,Rosario A. Gerhardt,https://openalex.org/A5016772104,10.1002/9781118996652.ch25,"Gerhardt, Rosario A.",7006403508,207,"['Materials Science', 'Engineering', 'Physics and Astronomy', 'Chemistry', 'Chemical Engineering', 'Energy', 'Biochemistry, Genetics and Molecular Biology', 'Social Sciences', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Psychology', 'Business, Management and Accounting']",0000-0001-8774-0842,118,Rosario A.,Gerhardt, Rosario A.,Gerhardt
52093,Rosario A. Gerhardt,https://openalex.org/A5016772104,10.1557/jmr.2013.343,"Gerhardt, Rosario A.",7006403508,207,"['Materials Science', 'Engineering', 'Physics and Astronomy', 'Chemistry', 'Chemical Engineering', 'Energy', 'Biochemistry, Genetics and Molecular Biology', 'Social Sciences', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Psychology', 'Business, Management and Accounting']",0000-0001-8774-0842,118,Rosario A.,Gerhardt, Rosario A.,Gerhardt
51985,Rosario A. Gerhardt,https://openalex.org/A5016772104,10.1557/jmr.2013.143,"Gerhardt, Rosario A.",7006403508,207,"['Materials Science', 'Engineering', 'Physics and Astronomy', 'Chemistry', 'Chemical Engineering', 'Energy', 'Biochemistry, Genetics and Molecular Biology', 'Social Sciences', 'Computer Science', 'Earth and Planetary Sciences', 'Mathematics', 'Psychology', 'Business, Management and Accounting']",0000-0001-8774-0842,118,Rosario A.,Gerhardt, Rosario A.,Gerhardt
